date,channel,contact_or_audience,github_issue,team_size,main_languages,discovery_source,current_workflow,decision_role,decision_window,offer_tier,qualified_reply,team_test,paid_signal,precommitment,rules_pack_sales,team_updates_subscribers,one_time_revenue_usd,mrr_usd,payment_reference,next_follow_up,next_action
2026-09-13,GitHub issue comment,picatz/flowstate maintainer,https://github.com/picatz/flowstate/issues/1584,,,,GitHub issue search,,,,no,no,no,no,,,,,,2026-09-20,Wait for maintainer reply; do not send a follow-up before a response
2026-09-15,GitHub issue comment,sdempsay/agentic-review-tool maintainer,https://github.com/sdempsay/agentic-review-tool/issues/5,,,,GitHub issue search,,,,no,no,no,no,,,,,,2026-09-22,Wait for maintainer reply; do not send a follow-up before a response
2026-09-15,GitHub issue comment,trailhq/Graft maintainer,https://github.com/trailhq/Graft/issues/368,,,,GitHub issue search,,,,no,no,no,no,,,,,,2026-09-22,Wait for maintainer reply; do not send a follow-up before a response
2026-09-15,GitHub issue comment,dheerajjha/reviewer maintainer,https://github.com/dheerajjha/reviewer/issues/4,,,,GitHub issue search,,,,no,no,no,no,,,,,,2026-09-22,Wait for maintainer reply; do not send a follow-up before a response
2026-09-15,GitHub issue comment,androidAppGuard/asterinas maintainer,https://github.com/androidAppGuard/asterinas/issues/4,,,,GitHub issue search,,,,no,no,no,no,,,,,,2026-09-22,Wait for maintainer reply; do not send a follow-up before a response
2026-09-15,GitHub issue comment,microsoft/finops-toolkit maintainer,https://github.com/microsoft/finops-toolkit/issues/2274,,,,GitHub issue search,,,,no,no,no,no,,,,,,2026-09-22,Wait for maintainer reply; do not send a follow-up before a response
2026-09-15,GitHub issue comment,techie2000/template-docs maintainer,https://github.com/techie2000/template-docs/issues/61,,,,GitHub issue search,,,,no,no,no,no,,,,,,2026-09-22,Wait for maintainer reply; do not send a follow-up before a response
2026-09-15,GitHub issue comment,Gabriel-GM5/rpguide maintainer,https://github.com/Gabriel-GM5/rpguide/issues/47,,,,GitHub issue search,,,,no,no,no,no,,,,,,2026-09-22,Wait for maintainer reply; do not send a follow-up before a response
2026-09-15,GitHub issue comment,unclehq/uncle maintainer,https://github.com/unclehq/uncle/issues/59,,,,GitHub issue search,,,,no,no,no,no,,,,,,2026-09-22,Wait for maintainer reply; do not send a follow-up before a response
2026-09-15,GitHub issue comment,nold-ai/specfact-cli maintainer,https://github.com/nold-ai/specfact-cli/issues/728,,,,GitHub issue search,,,,no,no,no,no,,,,,,2026-09-22,Wait for maintainer reply; do not send a follow-up before a response
